,Case Number,Date,Year,Country,Area,Location,Sex ,Age,Activity,Time_int,Time_cat,Fatal,Species
5662,1893.10.20.R,1893-10-20,1893.0,INDIA,Bay of Bengal,Madras Harbor,M,,others,,,Y,Uncomfirmed Species
5663,1893.10.16,1893-10-16,1893.0,CROATIA, Primorje-Gorski Kotar County,"Off Volusca, Opatija",,,sailing,,,,No shark involved
5664,1893.07.03,1893-07-03,1893.0,PHILIPPINES,Luzon Island,Off Manila,M,,sailing,,,Y,Uncomfirmed Species
5665,1893.06.22.R,1893-06-22,1893.0,NIGERIA,Bayelsa State,Mouth of the Nun River,M,,others,,,Y,Uncomfirmed Species
5666,1893.06.22,1893-06-22,1893.0,LEBANON,,Off Tripoli,M,,others,,,Y,Uncomfirmed Species
5667,1893.05.23.R,1893-05-23,1893.0,FIJI,,Between Kadavu & Beqa,F,,sailing,,,Y,Uncomfirmed Species
5668,1893.05.17,1893-05-17,1893.0,CUBA,Havana Province,Havana Harbor,M,,others,16,,Y,Uncomfirmed Species
5669,1893.04.15,1893-04-15,1893.0,SOUTH ATLANTIC OCEAN,,,M,,swimming,,,N,Uncomfirmed Species
5670,1893.04.14,1893-04-14,1893.0,AUSTRALIA,Queensland,Torres Strait,M,,swimming,,,N,Uncomfirmed Species
5671,1893.04.04,1893-04-04,1893.0,AUSTRALIA,Tasmania,"Chimney Point, Georges Bay",M,,swimming,16,,,Uncomfirmed Species
5672,1893.01.30.R,1893-01-30,1893.0,NEW ZEALAND,South Island?,Downs River,M,,swimming,,,Y,Uncomfirmed Species
5673,1893.01.18.R,1893-01-18,1893.0,FRENCH POLYNESIA,,One week out of Pápete,M,,others,,,Y,Uncomfirmed Species
5674,1893.00.00,,1893.0,EGYPT,Mediterranean Sea,Port Said,,,others,,,,Uncomfirmed Species
5675,1892.12.15,1892-12-15,1892.0,ATLANTIC OCEAN,,,M,15,surfing,,,Y,Uncomfirmed Species
5676,1892.11.09.R,1892-11-09,1892.0,AUSTRALIA,Norfolk Island,,M,,fishing,,,N,Uncomfirmed Species
5677,1892.11.06,1892-11-06,1892.0,AUSTRALIA,Queensland,"Wellington Point, Brisbane",F,,swimming,,,N,Uncomfirmed Species
5678,1892.09.16.R,1892-09-16,1892.0,USA,Texas,Velasco,M,,others,,,N,Uncomfirmed Species
5679,1892.06.24,1892-06-24,1892.0,FRANCE,Brittany,Brest,,,fishing,,,,No shark involved
5680,1892.06.20.R,1892-06-20,1892.0,CUBA,Havana Province,Havana Harbor,M,,surfing,,,Y,Uncomfirmed Species
5681,1892.05.19.R,1892-05-19,1892.0,NEW ZEALAND,North Island,Rockhampton,M,,swimming,,,N,Uncomfirmed Species
5682,1892.04.21.R,1892-04-21,1892.0,BAHAMAS,Out Islands,,M,,surfing,,,Y,Uncomfirmed Species
5684,1892.03.02,1892-03-02,1892.0,AUSTRALIA,New South Wales,Lake Macquarie,M,21,fishing,,night,N,Uncomfirmed Species
5685,1892.00.00,,1892.0,AUSTRALIA,Torres Strait,Badu Island,M,,swimming,,,Y,Uncomfirmed Species
5686,1891.12.31.R,1891-12-31,1891.0,AUSTRALIA,New South Wales,,M,,swimming,,,N,Uncomfirmed Species
5687,1891.12.22.R,1891-12-22,1891.0,NEW ZEALAND,North Island,"Manukau Harbor, 6 miles south of Auckland",M,,swimming,,,N,Uncomfirmed Species
5688,1891.11.29,1891-11-29,1891.0,MARTINIQUE,,Fort de France,M,,sailing,,,N,Uncomfirmed Species
5689,1891.09.14.R,1891-09-14,1891.0,KIRIBATI,Line Islands,Flint Island,,,sailing,,,Y,Uncomfirmed Species
5690,1891.08.30.R,1891-08-30,1891.0,CANADA,Nova Scotia,Halifax,M,,surfing,,,Y,Uncomfirmed Species
5691,1891.08.29,1891-08-29,1891.0,USA,New Jersey,"Off Longport, Atlantic County",M,,swimming,,,N,Uncomfirmed Species
5692,1891.06.11,1891-06-11,1891.0,USA,Virginia,Hampton Roads,M,,swimming,,,,Uncomfirmed Species
5694,1891.01.08.R,1891-01-08,1891.0,JAMAICA,Kingston Parish,Port Royal Harbour,M,,sailing,,night,Y,Uncomfirmed Species
5695,1890.12.30,1890-12-30,1890.0,AUSTRALIA,Queensland,Moreton Bay,,,swimming,,,,Uncomfirmed Species
5696,1890.12.27.R,1890-12-27,1890.0,BRITISH NEW GUINEA,Woodlark Islands,Off Panamota,M,18,surfing,,,N,Uncomfirmed Species
5697,1890.10.25.R,1890-10-25,1890.0,ATLANTIC OCEAN,,,M,,surfing,,,Y,Uncomfirmed Species
5698,1890.08.17.R,1890-08-17,1890.0,USA,New Jersey,"Off Normandie-by-the-Sea, Monmouth County",,,fishing,,,N,Uncomfirmed Species
5699,1890.08.09,1890-08-09,1890.0,USA,Connecticut,"Bridgeport, Fairfield County",M,,swimming,,,N,Uncomfirmed Species
5700,1890.08.08,1890-08-08,1890.0,SAMOA,Upolu Island,Apia Harbour,M,,swimming,,,N,Uncomfirmed Species
5701,1890.06.26,1890-06-26,1890.0,CROATIA,,Fiume,M,,swimming,,,N,Uncomfirmed Species
5702,1890.06.14.R,1890-06-14,1890.0,PERSIAN GULF,,,M,,surfing,,,N,Uncomfirmed Species
5703,1890.06.02.R,1890-06-02,1890.0,EGYPT,,Port Said,M,,swimming,,,Y,Uncomfirmed Species
5704,1890.05.14,1890-05-14,1890.0,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,M,,others,,,,No shark involved
5706,1890.02.25,1890-02-25,1890.0,MALTA,Munxar Reef,Marsascala,M,,swimming,,,Y,Uncomfirmed Species
5707,1890.00.00.e,,1890.0,AUSTRALIA,Tasmania,Derwent River (empties into the sea at Hobart),M,,swimming,,,N,Uncomfirmed Species
5708,1890.00.00.d,,1890.0,INDIA,Tamil Nadu,Tuticorin,M,,swimming,,,,Uncomfirmed Species
5709,1890.00.00.c,,1890.0,INDIA,Tamil Nadu,Tuticorin,M,,swimming,,,,Uncomfirmed Species
5710,1890.00.00.b,,1890.0,NEW ZEALAND,North Island,"Lampton Harbour, Wellington",M,,swimming,,,Y,Uncomfirmed Species
5711,1890.00.00.a,,1890.0,SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,M,,swimming,15,,Y,Uncomfirmed Species
5713,1889.11.22,1889-11-22,1889.0,AUSTRALIA,Queensland,Bowen,M,,swimming,,,Y,Uncomfirmed Species
5714,1889.11.16,1889-11-16,1889.0,USA,Hawaii,Honolulu,M,,others,,,,Uncomfirmed Species
5715,1889.10.03.R,1889-10-03,1889.0,INDIA,Tamil Nadu,Madras,M,,swimming,,,Y,Uncomfirmed Species
5716,1889.07.21,1889-07-21,1889.0,USA,Florida,"Fernandina, Nassau County",M,,swimming,,,Y,Uncomfirmed Species
5717,1889.07.19,1889-07-19,1889.0,USA,Texas,West Bay near Galveston ,M,,fishing,07,,N,Uncomfirmed Species
5718,1889.07.08,1889-07-08,1889.0,AUSTRALIA,Victoria,Port Phillip,M,,swimming,,,Y,Uncomfirmed Species
5719,1889.01.31.R,1889-01-31,1889.0,USA,Florida,Hillsborough Bay,,,fishing,,,N,Uncomfirmed Species
5720,1889.01.00,,1889.0,SIERRA LEONE,Western Area,Freetown,M,,sailing,,,Y,Uncomfirmed Species
5721,1888.12.25.R,1888-12-25,1888.0,INDIAN OCEAN,Between Perth & Colombo,,M,,swimming,,,N,Uncomfirmed Species
5722,1888.12.09,1888-12-09,1888.0,AUSTRALIA,New South Wales,"Iron Cove Bridge, Sydney (Estuary)",M,11,swimming,13,,Y,Uncomfirmed Species
5723,1888.12.00,,1888.0,AUSTRALIA,New South Wales,"Hawkesbury Bridge, Sydney",M,,sailing,,,Y,Uncomfirmed Species
5724,1888.10.23.R,1888-10-23,1888.0,CROATIA, Primorje-Gorski Kotar County,Rijeka,,,others,,,Y,Uncomfirmed Species
5725,1888.08.14,1888-08-14,1888.0,CANADA,Nova Scotia,Off Sable Island,M,,sailing,,morning,Y,Uncomfirmed Species
5726,1888.08.01.R,1888-08-01,1888.0,USA,New York,,,,sailing,,,N,Uncomfirmed Species
5728,1888.07.13.R,1888-07-13,1888.0,INDIA,Gujarat,Cutch Coast,M,,others,,,Y,Uncomfirmed Species
5730,1888.06.24,1888-06-24,1888.0,AUSTRALIA,Victoria,Port Melbourne,,,fishing,,,N,Uncomfirmed Species
5731,1888.06.18.R,1888-06-18,1888.0,AUSTRALIA,Victoria,"Point Cook, Port Phillip Bay",M,,sailing,,,,Uncomfirmed Species
5732,1888.02.17,1888-02-17,1888.0,NEW ZEALAND,South Island,Oamaru,M,,swimming,06,,N,Uncomfirmed Species
5733,1888.01.22,1888-01-22,1888.0,AUSTRALIA,New South Wales,Sydney Harbor,M,,sailing,,,N,Uncomfirmed Species
5734,1888.02.00,,1888.0,SOUTH AFRICA,Eastern Cape Province,Mzimvubu River mouth,M,,others,,,Y,Uncomfirmed Species
5735,1888.00.00,,1888.0,LIBYA,Mediterranean Sea,Off Tripoli,M,,swimming,,,N,Uncomfirmed Species
5736,1887.12.22.R,1887-12-22,1887.0,HONDURAS,Cortés,Off Puerto Cortez (Caribbean coast),M,33,surfing,,,Y,Uncomfirmed Species
5737,1887.12.04,1887-12-04,1887.0,AUSTRALIA,New South Wales,"Ryde, Sydney (Estuary)",M,,others,11,,Y,Uncomfirmed Species
5738,1887.10.18,1887-10-18,1887.0,USA,Florida,"Between Lake Worth & Biscayne Bay, near Hillsboro",M,,swimming,,,Y,Uncomfirmed Species
5739,1887.10.00,,1887.0,BAHAMAS,,,M,,sailing,,,Y,Uncomfirmed Species
5740,1887.09.22,1887-09-22,1887.0,ITALY,,Trieste,M,,swimming,,,N,Uncomfirmed Species
5742,1887.07.30,1887-07-30,1887.0,,Gulf of California,,M,,sailing,,,Y,Uncomfirmed Species
5743,1887.03.12,1887-03-12,1887.0,AUSTRALIA,South Australia,Black Point,,,surfing,,,N,Uncomfirmed Species
5744,1887.02.08.R,1887-02-08,1887.0,NEW ZEALAND,North Island,Kaipara,M,,swimming,,,Y,Uncomfirmed Species
5745,1887.02.08,1887-02-08,1887.0,SOUTH AFRICA,Western Cape Province,Blaauwberg,,,others,,,N,Uncomfirmed Species
5746,1887.01.20,1887-01-20,1887.0,BRAZIL,Alagoas,Maceió,M,,sailing,03,,Y,Uncomfirmed Species
5747,1887.01.12,1887-01-12,1887.0,SOUTH AFRICA,Eastern Cape Province,"Mzimvubu River, 9.6 km from the sea",M,13,swimming,12,,Y,Uncomfirmed Species
5748,1887.00.00,,1887.0,OCEAN,"Somewhere between Philadelphia and Hiogo, Japan",,M,,sailing,,,N,Uncomfirmed Species
5749,1886.08.00.c,,1886.0,USA, New Jersey,"Shrewsbury River, Highlands, Monmouth County",M,,others,,,N,Uncomfirmed Species
5750,1886.08.00.b,,1886.0,USA,New Jersey,"Sandy Hook Bay, Highlands, Monmouth County",,,swimming,,,N,Uncomfirmed Species
5751,1886.08.00.a,,1886.0,USA,New Jersey,"Shrewsbury River, Highlands, Monmouth County",M,,others,,,N,Uncomfirmed Species
5752,1886.06.17,1886-06-17,1886.0,AUSTRALIA,Queensland,Off Bribie Heads,M,18,swimming,,,Y,Uncomfirmed Species
5753,1886.06.02,1886-06-02,1886.0,USA,Hawaii,"Hamakua Homakua, Hawai'i",F,,swimming,,,,Uncomfirmed Species
5754,1886.05.06,1886-05-06,1886.0,NEW CALEDONIA,South Province,Noumea,M,,swimming,12,,Y,Uncomfirmed Species
5755,1886.04.26,1886-04-26,1886.0,AUSTRALIA,Queensland,Rothesay Bay,M,,others,,,N,Uncomfirmed Species
5756,1886.04.11,1886-04-11,1886.0,NEW ZEALAND,South Island,Near the mouth of the Clarence River,M,,sailing,,,,Uncomfirmed Species
5757,1886.03.06.R,1886-03-06,1886.0,NEW ZEALAND,South Island,Dunedin ,M,,swimming,,,,No shark involved
5758,1886.03.00,,1886.0,AUSTRALIA,New South Wales,"Dobroyd Head, Watson Bay, Sydney",M,,sailing,,,,Uncomfirmed Species
5759,1886.02.13.R,1886-02-13,1886.0,AUSTRALIA,Victoria,Mordialloc,M,,fishing,,,N,Uncomfirmed Species
5760,1886.01.28,1886-01-28,1886.0,SOUTH AFRICA,Eastern Cape Province,"South Jetty, Port Elizabeth",M,,swimming,07,,N,Uncomfirmed Species
5761,1886.01.26,1886-01-26,1886.0,AUSTRALIA,Queensland,,M,,swimming,,,N,Uncomfirmed Species
5762,1886.01.01,1886-01-01,1886.0,SOUTH AFRICA,Western Cape Province,Groot River,M,,swimming,,,Y,Uncomfirmed Species
5763,1886.00.00,,1886.0,AUSTRALIA,New South Wales,Sydney Harbor,M,,sailing,,afternoon,N,Uncomfirmed Species
5764,1885.11.26.R,1885-11-26,1885.0,AUSTRALIA,Queensland,Brisbane ,,,others,,,N,Uncomfirmed Species
5765,1885.11.26,1885-11-26,1885.0,AUSTRALIA,Western Australia,Bunbury,M,,swimming,,,N,Uncomfirmed Species
5766,1885.08.17,1885-08-17,1885.0,ATLANTIC OCEAN,,,M,,surfing,,,Y,Uncomfirmed Species
5767,1885.07.26.c,1885-07-26,1885.0,USA,Hawaii,Kau District,M,,others,,,N,Uncomfirmed Species
5768,1885.07.26.b,1885-07-26,1885.0,USA,Hawaii,Kau District,M,,others,,,N,Uncomfirmed Species
5769,1885.07.26.a,1885-07-26,1885.0,USA,Hawaii,Kau District,M,,others,,,Y,Uncomfirmed Species
5771,1885.04.09,1885-04-09,1885.0,NEW ZEALAND,North Island,Auckland,M,,swimming,,,N,Uncomfirmed Species
5772,1885.03.28,1885-03-28,1885.0,SOUTH AFRICA,KwaZulu-Natal,Kokstad District,M,,fishing,,,N,Uncomfirmed Species
5773,1884.12.13,1884-12-13,1884.0,AUSTRALIA,South Australia,Port Phillip,M,,sailing,,,Y,Uncomfirmed Species
5774,1884.12.08.R,1884-12-08,1884.0,FRANCE,Côte d'Azur  ,Between Nice & Villefranche,F,,others,02,,Y,Uncomfirmed Species
5775,1884.08.28.R.,1884-08-28,1884.0,USA,New Jersey,"Bayonne, Hudson County",M,,sailing,,,N,Uncomfirmed Species
5776,1884.08.18,1884-08-18,1884.0,USA,New York,Jamaica Bay,M,,others,,,,No shark involved
5777,1884.04.38.R,,1884.0,BRAZIL,,Bahia,M,,surfing,,,Y,Uncomfirmed Species
5778,1884.01.16,1884-01-16,1884.0,SOUTH AFRICA,Eastern Cape Province,"South Jetty, Port Elizabeth",M,,swimming,,,Y,Uncomfirmed Species
5779,1884.01.14,1884-01-14,1884.0,AUSTRALIA,South Australia,"Port Pirie, Spencer Gulf, 230 km north of Adelaide",F,,surfing,,,Y,Uncomfirmed Species
5780,1883.12.19,1883-12-19,1883.0,AUSTRALIA,New South Wales,Parramatta River,M,21,swimming,12,,Y,Uncomfirmed Species
5781,1883.12.18.R,1883-12-18,1883.0,USA,Texas,Brazos,M,,surfing,,,Y,Uncomfirmed Species
5782,1883.10.20.R,1883-10-20,1883.0,URUGUAY,Maldonado coast,,M,,surfing,,,Y,Uncomfirmed Species
5783,1883.10.19.R,1883-10-19,1883.0,USA,East coast,,M,,surfing,,,Y,Uncomfirmed Species
5784,1883.09.14.R,1883-09-14,1883.0,AUSTRALIA,Tasmania,Between Port Arthur Penal Colony & Forestier Peninsula,M,,swimming,,,Y,Uncomfirmed Species
5785,1883.07.05,1883-07-05,1883.0,GEORGIA,,"Savannah River, Chatham County",M,,swimming,,,N,Uncomfirmed Species
5786,1883.02.26.R,1883-02-26,1883.0,AUSTRALIA,Northern Territory,the pearling beds,M,,swimming,,,N,Uncomfirmed Species
5787,1883.02.25.R,1883-02-25,1883.0,AUSTRALIA,Northern Territory,the pearling beds,M,,swimming,,,Y,Uncomfirmed Species
5788,1883.01.21,1883-01-21,1883.0,AUSTRALIA,New South Wales,"Iron Cove, Sydney",M,37,swimming,05,,Y,Uncomfirmed Species
5789,1883.00.00.d,,1883.0,PACIFIC OCEAN,,,M,,fishing,,,Y,Uncomfirmed Species
5790,1883.00.00.c,,1883.0,USA,Florida,"Fort Pickens, Escambia County",M,,surfing,,,Y,Uncomfirmed Species
5791,1883.00.00.b,,1883.0,USA,South Carolina,"Bulls Bay, near Charleston",M,,others,,,,Uncomfirmed Species
5792,1883.00.00.a,,1883.0,USA,South Carolina,,M,,others,,,Y,Uncomfirmed Species
5793,1882.12.03,1882-12-03,1882.0,NEW ZEALAND,South Island,New Brighton,M,,swimming,,,N,Uncomfirmed Species
5794,1882.11.12.b,1882-11-12,1882.0,NEW ZEALAND,North Island,"Tararu, Thames",M,,swimming,,morning,N,Uncomfirmed Species
5795,1882.11.12.a,1882-11-12,1882.0,NEW ZEALAND,North Island,"Tararu, Thames",M,,swimming,,morning,N,Uncomfirmed Species
5796,1882.09.00,,1882.0,JAPAN,,,M,,sailing,,,N,Uncomfirmed Species
5797,1882.05.14,1882-05-14,1882.0,AUSTRALIA,New South Wales,Millers Point,M,,surfing,,afternoon,N,Uncomfirmed Species
5798,1882.05.12.R,1882-05-12,1882.0,AUSTRALIA,,,M,,swimming,,,Y,Uncomfirmed Species
5799,1882.04.15,1882-04-15,1882.0,AUSTRALIA,New South Wales,Lake Macquarie,M,,fishing,,,Y,Uncomfirmed Species
5800,1882.02.07.R,1882-02-07,1882.0,AUSTRALIA,,,M,,swimming,,,Y,Uncomfirmed Species
5801,1882.01.23.R,1882-01-23,1882.0,AUSTRALIA,New South Wales,"Darling Harbor, Sydney",M,,swimming,,,Y,Uncomfirmed Species
5802,1882.01.05.R,1882-01-05,1882.0,ATLANTIC OCEAN,,,M,,surfing,,,Y,Uncomfirmed Species
5803,1882.00.00.b,,1882.0,USA,Florida,"In the bay near the naval yard at Pensacola, Escambia County",M,,surfing,,,N,Uncomfirmed Species
5804,1882.00.00.a,,1882.0,AUSTRALIA,Queensland,Maryborough,M,,others,,,N,Uncomfirmed Species
5805,1881.11.13,1881-11-13,1881.0,AUSTRALIA,New South Wales,"Johnstone's Bay, Sydney",M,,swimming,,,,Uncomfirmed Species
5806,1881.10.16,1881-10-16,1881.0,USA,Florida,"Pensacola Bay, Escambia County",M,18,swimming,,,,Uncomfirmed Species
5807,1881.09.05,1881-09-05,1881.0,USA,North Carolina,"Elizabeth City, Pasquotank County  ",M,,swimming,,,Y,Uncomfirmed Species
5808,1881.08.16.R,1881-08-16,1881.0,,Western Banks,,M,20,swimming,,,Y,Uncomfirmed Species
5809,1881.08.12,1881-08-12,1881.0,USA,Rhode Island,Providence,M,,swimming,,,N,Uncomfirmed Species
5810,1881.06.25,1881-06-25,1881.0,,,Santa Cruz,M,,swimming,,,N,Uncomfirmed Species
5811,1881.06.13,1881-06-13,1881.0,USA,Alabama,Mobile Bay,M,23,surfing,,,Y,Uncomfirmed Species
5813,1881.00.00.a,,1881.0,ITALY,Sicily,Stretto di Messina,M,,fishing,,,N,White Shark
5814,1880.11.25,1880-11-25,1880.0,AUSTRALIA,Queensland,"Petrie Bight, Brisbane River",M,12,swimming,,afternoon,Y,Bull Shark
5815,1880.10.10,1880-10-10,1880.0,AUSTRALIA,New South Wales,Bermagui,M,,sailing,,,Y,Uncomfirmed Species
5816,1880.08.08,1880-08-08,1880.0,MOZAMBIQUE,,,M,,swimming,11,,Y,Uncomfirmed Species
5817,1880.07.25,1880-07-25,1880.0,USA,New York,The Narrows,M,,sailing,15,,N,Uncomfirmed Species
5818,1880.05.15,1880-05-15,1880.0,INDIA,West Bengal,Ganges River,M,20,others,11,,N,Uncomfirmed Species
5819,1880.05.14,1880-05-14,1880.0,INDIA,West Bengal,Hoogly River,F,60,swimming,,,N,Uncomfirmed Species
5820,1880.05.07.R,1880-05-07,1880.0,MEXICO,Guerro,Acapulco,M,,others,,,,Uncomfirmed Species
5821,1880.05.02.b,1880-05-02,1880.0,INDIA,West Bengal,(Calcutta?),M,,swimming,12,,Y,Uncomfirmed Species
5822,1880.05.02.a,1880-05-02,1880.0,INDIA,West Bengal,"Panihati, 4 miles south of Barrackpore on the Hoogly River",M,11,swimming,10,,Y,Uncomfirmed Species
5823,1880.01.22,1880-01-22,1880.0,AUSTRALIA,New South Wales,"Chowder Bay, Sydney",,,fishing,13,,N,Uncomfirmed Species
5824,1880.01.03,1880-01-03,1880.0,AUSTRALIA,New South Wales,Cooranbong,F,13,swimming,,,N,Uncomfirmed Species
5825,1880.00.00.e,,1880.0,SYRIA,,,M,,swimming,,,,Uncomfirmed Species
5826,1880.00.00.d,,1880.0,USA,Florida,"Hutchinson Island, Martin County",M,,others,,,,No shark involved
5827,1880.00.00.c,,1880.0,SOLOMON ISLANDS,Guadalcanal Province,Guadalcanal,M,,others,,,N,Uncomfirmed Species
5828,1880.00.00.a,,1880.0,NEW ZEALAND,South Island,Campbells Point,M,,others,,,N,Uncomfirmed Species
5829,1879.12.24,1879-12-24,1879.0,INDIA,Andaman Islands,Port Blair,M,23,swimming,,,Y,Uncomfirmed Species
5830,1879.11.10,1879-11-10,1879.0,AUSTRALIA,New South Wales,Clarence Heads,M,,swimming,,,N,Uncomfirmed Species
5831,1879.09.22,1879-09-22,1879.0,SPAIN,Valencia,Castellon de la Plana,,,fishing,,,N,Uncomfirmed Species
5832,1879.08.30.R,1879-08-30,1879.0,FIJI,Lau Group,Totoya  ,M,,others,,,N,Uncomfirmed Species
5833,1879.07.03,1879-07-03,1879.0,USA,California,"Los Angeles, Los Angeles County",M,,swimming,,,N,Uncomfirmed Species
5834,1879.03.19,1879-03-19,1879.0,NEW ZEALAND,North Island,Napier,M,19,surfing,,,Y,Uncomfirmed Species
5835,1879.03.10,1879-03-10,1879.0,AUSTRALIA,New South Wales,Near Sydney ,M,,sailing,,,,Uncomfirmed Species
5836,1879.00.00,,1879.0,USA,Mississippi,River mouth,M,,swimming,,,Y,Tiger Shark
5837,1878.11.17,1878-11-17,1878.0,AUSTRALIA,New South Wales,"Lane Cove River, Sydney Harbor ",M,,swimming,,,N,Uncomfirmed Species
5838,1878.10.24.R,1878-10-24,1878.0,INDONESIA,East Java,Probolinggo,M,22,swimming,,,Y,Uncomfirmed Species
5840,1878.09.14.R,1878-09-14,1878.0,USA,Connecticut,"Branford, New Haven County",M,,fishing,,,N,Uncomfirmed Species
5841,1878.09.02.b,1878-09-02,1878.0,SOUTH ATLANTIC OCEAN,Off the coast of West Africa,,M,,sailing,,,N,Uncomfirmed Species
5842,1878.09.02.a,1878-09-02,1878.0,SOUTH ATLANTIC OCEAN,Off the coast of West Africa,,M,,sailing,,,Y,Uncomfirmed Species
5843,1878.08.09,1878-08-09,1878.0,USA,New York,East River,M,,swimming,,afternoon,Y,Uncomfirmed Species
5844,1878.08.08,1878-08-08,1878.0,USA,New York,Brooklyn,M,14,swimming,,afternoon,Y,Uncomfirmed Species
5845,1878.06.10,1878-06-10,1878.0,PHILIPPINES,Misamis Oriental,Cagayan de Oro,F,,others,,,Y,Uncomfirmed Species
5847,1878.02.13,1878-02-13,1878.0,SOUTH AFRICA,Western Cape Province,Olifantbos Point,M,,sailing,,,Y,Uncomfirmed Species
5848,1878.02.02,1878-02-02,1878.0,BRAZIL,,,M,,swimming,,,Y,Uncomfirmed Species
5849,1878.00.00,,1878.0,AUSTRALIA,New South Wales,"Balmain, Sydney (Estuary)",M,11,swimming,,,Y,Uncomfirmed Species
5851,1877.12.15,1877-12-15,1877.0,AUSTRALIA,New South Wales,"Peacock Point, Balmain, Sydney",M,11,swimming,,,N,Uncomfirmed Species
5852,1877.12.12,1877-12-12,1877.0,AUSTRALIA,New South Wales,Near Sydney,M,,swimming,,,Y,Uncomfirmed Species
5853,1877.09.15,1877-09-15,1877.0,AUSTRALIA,New South Wales,Port Jackson,M,,fishing,,afternoon,N,Uncomfirmed Species
5855,1877.04.07,1877-04-07,1877.0,AUSTRALIA,Tasmania,Smelting Works Bay near Hobart,M,,others,,,N,Uncomfirmed Species
5856,1877.04.04.,1877-04-04,1877.0,AUSTRALIA,Victoria,Portarlington,M,,swimming,,morning,N,Uncomfirmed Species
5857,1877.03.16,1877-03-16,1877.0,ITALY,Strait of Messina,Off Calabria,M,,sailing,,,N,Uncomfirmed Species
5858,1877.03.11,1877-03-11,1877.0,FIJI,Viti Levu Island,"Na Koro Vatu, Rewa River",M,15,others,,,N,Uncomfirmed Species
5859,1877.02.17.R,1877-02-17,1877.0,AUSTRALIA,Victoria,Off Melbourne,M,,fishing,,,N,Uncomfirmed Species
5860,1877.01.28,1877-01-28,1877.0,AUSTRALIA,Victoria,Emerald Hill,M,,swimming,,,Y,Uncomfirmed Species
5861,1877.01.24.R,1877-01-24,1877.0,AUSTRALIA,Victoria,Boarding School Bay,F,,swimming,,,N,Uncomfirmed Species
5862,1877.01.04,1877-01-04,1877.0,SOUTH AFRICA,KwaZulu-Natal,Durban,M,,swimming,,,,Uncomfirmed Species
5863,1877.00.00,,1877.0,INDIA,Hoogly River,Near Calcutta,M,,others,,,N,Uncomfirmed Species
5864,1876.10.13.R,1876-10-13,1876.0,USA,New York,,M,,fishing,,,Y,Uncomfirmed Species
5865,1876.09.07.R,1876-09-07,1876.0,GREECE,Cyclades archipelago,Between the islands of Tenos and Andros ,M,,swimming,,,Y,Uncomfirmed Species
5866,1876.06.04.R,1876-06-04,1876.0,USA,Georgia,Cumberland Island,M,,swimming,,,N,Uncomfirmed Species
5867,1876.05.14,1876-05-14,1876.0,AUSTRALIA,New South Wales,Sydney Harbour,M,,swimming,,,Y,Uncomfirmed Species
5868,1876.02.06,1876-02-06,1876.0,AUSTRALIA,Victoria,Albert Park in Port Phillip Bay,M,,swimming,,,Y,Uncomfirmed Species
5869,1876.00.00.d,,1876.0,LEBANON,Mount Lebanon,Batroun,M,,swimming,,,Y,Uncomfirmed Species
5870,1876.00.00.c,,1876.0,ENGLAND,"Between Hastings & Fairlight, Sussex",,M,,others,,,N,Uncomfirmed Species
5871,1876.00.00.b,,1876.0,AUSTRALIA,Western Australia,Between De Grey River and Port Walcott,M,,swimming,,,N,Uncomfirmed Species
5872,1876.00.00.a,,1876.0,AUSTRALIA,New South Wales,Sydney,M,,others,,,Y,Uncomfirmed Species
5873,1875.11.27.R,1875-11-27,1875.0,AUSTRALIA,New South Wales,Clarence Heads,M,,fishing,,,N,Uncomfirmed Species
5875,1875.03.03,1875-03-03,1875.0,NEW ZEALAND,North Island,Tauranga,M,3,swimming,,,Y,Uncomfirmed Species
5876,1875.01.20.R,1875-01-20,1875.0,AUSTRALIA,Queensland,Mary River,M,,swimming,,,,No shark involved
5877,1874.11.21,1874-11-21,1874.0,AUSTRALIA,Queensland,Maryborough,M,,swimming,,,N,Uncomfirmed Species
5878,1875.00.00,,1875.0,AUSTRALIA,Western Australia,Sharks Bay,M,,sailing,,,Y,Uncomfirmed Species
5879,1874.11.14.R,1874-11-14,1874.0,CROATIA,Zadar County,"Lika-Senj, Pag Island",,,fishing,,,N,Uncomfirmed Species
5881,1874.07.15.R,1874-07-15,1874.0,USA,Hawaii,Waikiki,M,,fishing,,,N,Uncomfirmed Species
5882,1874.07.15,1874-07-15,1874.0,USA,New York,Coney Island,M,,swimming,,afternoon,N,Uncomfirmed Species
5883,1876.06.18.R,1876-06-18,1874.0,MEXICO,Veracruz ,"Tlacotalpan, Vera Cruz",M,,swimming,,,Y,Uncomfirmed Species
5884,1874.06.15.b.R,1874-06-15,1874.0,KIRIBATI,Gilbert Islands,Beru,M,,surfing,,,Y,Uncomfirmed Species
5886,1874.06.00,,1874.0,HONDURAS,,Mouth of the Ullua River,M,,sailing,,,Y,Uncomfirmed Species
5887,1874.04.20.R,1874-04-20,1874.0,CANADA,Newfoundland,St. Pierre Bank ,M,,fishing,,,N,White Shark
5888,1874.02.15,1874-02-15,1874.0,TUVALU,,Between Nanumea & Nanumaga Atolls,,,swimming,,night,Y,Uncomfirmed Species
